,Content,Polarity
247,ahor si desp lav piñ ¨pa¨ cam hol lucia_miguel bes buen noch veo acab lleg,0
248,q sab segur q entend antoniocamun,0
249,sinton total rajoy zapater import matic rubalc recepcion dia constitu {link},0
250,merkel sarkozy rind encant president rajoy {link} via semanaldigital,0
251,rt nurvac sr mas garantiz sanid public calid universal anticonstitucional celebr dia constitucion,1
253,buen dias president gobiern plen verdader lid d oposicion part pon d acuerd lueg posibl,1
256,europ constru recort bienest auster si inteligent bienest modern inversion cre emple,1
257,dejeis ver vide acab rt declar j- fija bermudez minut zougam merec juici,0
258,#bdi vay tiemp hac hoy niebl parec boc lob fri fri apetec calent pal cuerp,1
259,buen dias adjunt column hoy abc_es neces d reform constitucional {link},0
260,dond saldr diner banc mal rajoy segun wsj {link},1
261,rt tudni graci marivi rt mariviromer encant ver aqui tudni -,0
262,amig compañer part {link},0
263,interes analisis iurquizu ret social {link},0
265,igualmente“susannagris respond dentr nuev mes buenafuent inmens plac tenert hoy espejopublico”,0
267,anotici pilot iberi pon riesg viaj navid mil person huelg dias diciembr,1
269,quer potenci estimul mejor alumn impart profesor funcionari,0
271,novi cristian ronald irin nombr prefier jug camiset ve apreci color {link},1
272,exig banc interven diner public line d credit pymes autonom nuev empres contrat,1
273,lectur navideñ recomend ret rajoy oscareli raf bardaj,0
274,felip suspend cen conciabul cont telediarioint,1
275,sind echa man chequer benefici amig cont top secret telediarioint,1
276,andaluc pretend 'robar' colegi cur monj cont telediarioint,1
278,torr esper lleg acuerd puert trasl crucer {link},0
279,ayunt plante proyect mejor accesibil teatr roman {link},0
280,nunc dich “jorgealac martagller pedroj_ramirez qued eta”,1
281,hoy gat juan rosell favor banc mal {link},1
282,mañan cont pais charl iñaki urdangarin convenc jaum mat firm conveni noos,0
284,llam iu antisistem denunci reform merc hech constitu anticonstitucional,1
285,jej rt mariadeonat tonicant sient mañan echad unas ris cost,0
286,interes milit pso q vot deleg congres rt “reginomate guadalaj abriend camin {link} v martagaston,0
289,lastim hoy termin aca futbol siempr revanch equip pel grand cos,1
290,siempr - rt mnd mariviromer graci,0
293,graci principal chil unid {link} podeis visit cont {link},0
294,ahor dic regal cam banc sabadell carg fond garant olvid frob financi fond public,0
295,disculp jcach confund jesus cach,1
296,duqu ofrec mat amist leblanc llev tour balear logr contrat millon {link},0
297,rajoy acab entrar asamble pp europe sonrient punt comenz maraton reunion,0
298,hereder sombr imperi zar {link},0
299,+ rt “carlos__alsin lector chav nogal enhorabuen {link},0
303,excelent resum present ultim disc beb escrit fermin zabalegui maner {link},0
305,menu increibl {link},0
306,españ pais sobrecualif laboral tod union europe {link},1
308,sanchez_soni cont si explot europ dic sarkozy,1
309,rajoy cumpl mand troik recort social banc mal pag ciudadan devalu emple salari,1
310,vide final cop davis sub youtub alcanz visit #copadavis,0
311,bols baj prim sub razon bce sig neg actu merc deud vet aleman,1
314,gobiern funcion indult dos empresari conden defraud millon {link} / via iescol,1
316,rt paquivicent cosmet luj suit moscu despilfarr final sind {link} ah bueeen suit,1
317,parec indign ministr sind gast noch hotel moscu noch com famili person mes,1
318,q pag rt joseantoniodelp mariviromer migar_ miguehijan ahora_andal ultim dias mentir gord salud,1
319,verd “nataliapastor miguel mont pres antigu españ llev años carcelvergonz vomitivo”,1
320,bien icacabel telediarioint enhorabuen pelirroj,0
321,tempran muer sueñ descans muak,0
322,hac hazl pront “rafiln isangeis pues mir lea epn pedroj_ramirez leer jaja”,0
325,lider sig discut portavoc vend acuerd fond discut form #euc,1
326,hoy ertzaintz descubiert unzulocon armament eta ocult mont bizkai municipi abadian elorri,1
327,curi insomn rajoy pid pod bloque fond rescat si dan fracas zp dos,1
328,{link} dej fot conciert palm mallorc ver visit luj recib noch,0
329,paugasol hac dos diasmuch rumor dias centr trabaj diari ilusion volv jug equipo”,0
330,resum larg agri noch brusel pact fiscal rein unid {link} by basteir #euc,1
333,bdi rein unid qued indic pais eur dad pas clav buen direccion union fiscal,0
334,rajoy actu ayer primer vez jef gobiern entro europ pis fuert promet exig mism hiz aznar,0
337,ultim entrad #zp consej ue sonrient #euc,0
339,ofens oid sord jod arranc mandibul zarpaz #malditosorc,1
340,ahor #toolat zapater ofrec rigor nombr rajoy recobr pes ue {link},0
342,rt “ojomag period obtien document explic mied rein unid {link},1
343,rt sanchez_soni papelon #zp chipriot irlandes traductor pod habl adel papelon rajoy,1
344,merkel sark barros charl pie cameron sent sol car enfad #euc,1
345,encontr nuev zul explos pais vasc mientr eta exist camin segu combat,1
346,- rt juvenalsot mariviromer permis sum #ff borissol,0
347,#ff latanac raquelmart rein mund,0
348,jajajaj rio llor rt xipiron tonicant cub dictadur,1
349,#ff elenawilson sab,0
350,increibl q aun exist gent defiend regim cubanoest veran cub oi nadi hacerloes izquierd trasnoch español,1
351,pas bien “maeugenialopez lidiasanzperez recom fall luj salud person {link},0
354,zapater dic rajoy comprend perfect cal ide vet sol % fond rescat europe,0
355,graci chicos“quedicen_com paulavazqueztv ultim estrell brill anten {link} {link},0
356,tunel roquill hierr cierr seman caus perd ecas consider {link},1
357,supon ced merkel dur negoci,1
359,- rt ccifuent juanansanznunez supuest ver #sevill besaz - mariviromer,0
360,guardiol rued prens alard pacienci ojal ahor transform beb echem unas ris,0
361,iron abandon,1
364,apoy cariñ luis aizpeole gran period excelent person,0
365,¡lo mejor timelin dispon {link} ▸ histori dia cfopabloalbor los_spain trendsmadr,0
366,mandamient hac buen campañ electoral {link},0
367,€urop £ibr conclusion cumbr eur aislamient definit rein {link},1
368,tem dej hoy amigs sergi dalm rafit buen noch bs {link},0
369,tragedi cuban perd vid busc libert castr pag {link},1
370,lector algun problem particul encuentr mencion primer novel dec leer iñaki uriart,0
373,hart clasic cansin mund part cre pep saldr defens,1
374,jajaj hac reir si pelot dir mejor followers mund dig vais bien,0
375,gust nuev aplic twitt despist bastant ventaj veis anterior moment ningun,1
377,buen dia famili bes abraz gol tods,0
378,boe public hoy indult alfred saenz 'indulgent plenaria' dec borr excepcional antecedent penal,0
379,indult saenz borr antecedent penal q pued cumpl honorab q exig normat bancari,0
381,jajajajajj mierd nuev twitt locoooo,1
382,jesusmaran charl enric gonzalez mart gomez deb anim cre {link} via el_pais,0
384,“paquivicent hol rafam_simanc hac rt encontr perr anapalaci fot info {link},1
387,encant conocer “alipass {link} aqu redaccion mund graci sid plac cc mondadientes”,0
388,etarr encarcel pobr persegu pensamient delincuent fanat hech cos terribl,1
389,buen rt latigoalcongr tonicant buen diput rt ple graci saludosel terc jinet {link},0
390,ir calent motor noch vay ver clasic,1
391,shakir gan ayer premi artist latin import influyent mund mejor artist int lengu español shakirahq,0
392,conscient import cultural musical sal maland vam busc solucion dueñ,0
395,marodriguezb paugasol competicion realabiertan simulacr futboler d aquivamospauer mas grand,0
397,tribunal cuent ve irregular contrat semestr europe presid zapater {link} via larazon_,1
398,clav part hoy mied si mou sac equip amarr gan barc madr sol pued gan si sal gan,0
399,je je“mely_rb grand buenafuent teloner #brotherneskens”,0
400,oid noch millon person veran part madr miabuen suert,0
402,hoy ver clasic pub londr dos madrid armas tom ver si llev alegr,0
403,nadi enfad noch pon tel perr hortelan ultim estupend pelicul pil mir,0
404,¡lo mejor timelin dispon {link} ▸ histori dia anesv manoletusgarci weregorentandg jaime_fz,0
405,agradec tod muestr cariñ q recib hoy aqu aquin palabr graci infinit,0
406,apag vamon mal pat,1
408,felicitats barça/ madr qued lig #tomacomentariofutboler buen noch amig graci ser,0
411,“iaguirr conciert noch secret madr mencion enriqu urquijo” pantoj cre escuel,0
412,puntit sal charleston baezapor ciert enhorabuen fcb seguidor,0
413,parec desgraci fallec person guerrer,1
414,“aprync david_bust ¡maaaj ¡bu viaj parec dañ temblor pas mayor,0
415,buen abraz tods lueg,0
416,pued encontr vici tentacion cad esquin {link},1
417,merkozy equivoc {link} via el_pais,1
418,juanraluc deb hab mas limit viej regl ofici busc verd verific respet buen practic period,0
420,reiter cuestion personal sin debat necesari va mas alla profesion periodismol red abre espaci nuev,0
423,herman igorbustam - {link},0
425,nacho_plvapoy foment deport practic valorescr urgent recuper ministeri agricultur,0
426,japon h asi q ir dorm jet lag vay rap sueñ,0
429,vuelv disney-,0
430,nervi {link},1
431,si da tiemp sub algun fot quieroooo,0
432,“r_agu cuid palabr admir futbol independentista” #losmerenguesescozi,1
433,“_princess ristomejid catal cabron si rat soltais eur ¡racanos” #losmerengesescozi,1
434,eeuu fmi insatisfech result cumbr euroep mañan em analisis cumbr centr tar rajoy,1
435,grand quer estudi agri aun fin d seman horribilis madrid,1
436,grand clubestudi prim equip maaadr,0
437,madr graci cariñ sid plac,0
438,mañan mañan monton asalari pp volv twitt dias tiemp acueduct,1
439,este nuev fantasmagor hospital toledo… vari años despues vea fot - {link},1
440,dvillepin candidat alas presidencial francesastfrencor acumul dosns dv,1
441,proposit actual recuerd gregori ordoñez {link},0
442,capaz mejor cancion tant vec oi cant mejor maner record quier {link},0
444,buen nochesdesd disney dig quier familiaaaa {link},0
447,muñec verd clava {link},0
448,llam salv favorit ahor comercial hoy qued sol cad equip,0
449,sub tarif taxis madrileñ medi d % baj bander diurn sub cent pas eur,1
450,tard firm #elprimernaufragi cort ingles diagonal barcelon fot dedicatori especial tuiter,0
454,interes articul manriqu pais {link},0
456,buen dias empiez seman bastant dur trabaj conciert segu altur tempor conviert ret,1
457,dia mas puert genov hoy portavoc president congres sen much quiniel poc certez,1
458,carmenmorod gener jaj,0
461,interes tribun jos manuel garcia-margall cumbr ue {link},0
464,confusion junt direct pp zoid presid xvii congres nacional febrer comision organiz dirig pedr sanz,1
465,medeit dond sac tant fras ingeni gent explot almacen llam gent gener part,0
467,castill leon cabez rt pepem marianorajoy propon jesus pos president congres,0
468,graci lueg contest particular,0
469,enhorabuen president congres sen jesus pos piogarc portavoc alfons alons jos manuel barreir,0
472,cruz sal rt agusperezblanc miguel carcañ asi viv carcel buen repor cruzmorcill {link},0
477,prepar gran espectacul juev ayunt va cobr vid #sevillahoy {link},0
478,anotici zapater dic aprob ley descarg internet presion red social,1
479,hav an amazing week everyonemuch peace//l seman comienz bien fuerz todspaz,0
480,graci q pens q period mas influyent despañ graciasenhorabuen hermanntertsch pedroj_ramirez,0
481,hech q valor fantast segu trabaj aun mas libert honradez inform graci,0
482,cayepach nuev adquisicion literari ristomejid 'qu muert acompañe' {link} enhorabuen encontr,0
486,bastant acuerd eleccion aquã­ muj mã¡s atract {link} via elmund,0
488,dej fot prim gonzalococ hoy cumpl ver si invit p {link},0
489,lun negr d urdangarin abogado-portvz ocurr cos q dec indign coñ asambleari asegur,1
490,mgilguerrer abog indign xq rey inform indign segund,1
491,bast sobr dic gllamazar tras qued diput ras #congres {link} cayo_l portavoz iun,0
492,perd prad nuev bruegel fiest vin restaur aqu maravill vici virtud sigl xvi tan modern,0
493,alexand kwaniewski ex president poloni poloni hac europ perd tiemp ganemosl,1
495,pte portavoz portavoz adjunt inclus portavoz rotatori desempeñ portavoz exist cort diput,1
496,mgilguerrer estren noch radi,0
499,celebr dificultad zon euronytim {link},1
500,{link} aqu dej #videocapitul conciert jaen bes,0
501,eguigur social desiert cantimplor,1
502,mañan ador porqu ide siempr cre va pas buen #,0
505,mañan mas segur segur segur mejor #buenasnoch,0
506,graci rt sanzchil * mexic rt alejandrosanz vot oscarcruzvm cont {link},0
507,buen dias asi amanec madr {link},0
510,embarc gerundi mart ademas llamadm valient destin barcelon,0
513,rt japtapiasmi enhorabuen tom posesion escañ congres sen dan inici x legislatur democraci,0
515,pregunt bermudez querell em respuest instruccion sumari podr practic prueb,1
516,empiez primer reunion grup popul congres nuev diut lleg despist veteran expect si acas,0
517,buen dias gent ador noch servici anoch disfrut espectacul pablopuyol_ compañ,0
521,lleg pos cont q bon dad buen consej dipu proyectoequ / comprom lleg bici #congres,0
524,da igual corresponsal polit acredit permanent prens congres dej period call,1
525,palomacervill aprob siet portavoc adjunt ratific teofil luis secretari tecnic bes,0
526,celebr hoy descans voy dentist #tontoqueesun,0
530,amaiur grup sol diput pvasc navarr falt unas decim % tom posesion moment,1
531,sol q tom prest diput for temporal “isabelsuarezl maria_rey grup parlamentari upyd,1
532,hoy asist diput constitu cam baj falt sol diput amaiur navarr,1
534,actual situacion econom hac urgent adopt medi control gast public auster administr #asturi,1
541,recib pregunt nuev congres pued ped reenvi juliaenlaond etiquet #losnuev,0
543,famili graci mensaj aqu leyend dese feliz dia,0
544,ciu oblig rectific gisperty val todoinclus l xenofobi {link} muev arbolotr recog ls nuec,1
545,pues ocurr rt aritt alejandrosanz qe har si oscar gan #lavoz divert fans =,0
546,#enriquemorent bien chic besaz rt corazonesperu alejandrosanz feliz mrtes jefe va alla,0
547,jej bienvenids gringits fuert abraz #enriquemorent rt siempreesdnoch cont {link},0
548,maravill besaz anorm tru princes rt macasanzlucer alejandrosanz cre cad cont {link},0
550,maniobr amaiurn tom posesion diput x navarran garantiz grup parlamentari ultim palabr mes congres,1
552,pues favor vot * graci rt lalejandr alejandrosanz oscarcruzvm gall,0
553,noch pas baj escaler vest amarill echandol sal gat mientr romp espej ver tsqv #dilem,1
554,si parlament pued decir“ls español roban”l dur licenci decir“ls homosexual enfermos” #stopfach,1
556,camps molt honor supong ciudadan quier vay bien vest {link},0
558,noved anecdot esper congres conviert circ guard respet merec {link},0
561,hac rob reclam bols vid ahor bols parec rob vid reclam mañan enter,1
562,mes acuerd part pued solicit grup juev ocho tard medi hor despues reun mes,0
563,cataluñ dic q diner pag nomin si financi cin lesbic cont telediarioint,1
564,enhorabuen paullop rt bottup bottup unic proyect español 'citiz medi toolkit' changemakers+googl {link},0
565,nuev ai weiwei luch democraci chin {link},0
566,juan_andradeecuper min agricultur har agroalimentari sector comp vertebr p- {link},0
569,aqu tod info entrad yes we spain is different barcelon {link} vam liar,1
571,bfff acord esta,1
573,teres cuniller pso premi luis carandell mejor relacion prens #premiosapp,0
574,alvar nadal pp premi diput revel #premiosapp,0
575,tan sol libr perd si estuvist esper q gust buen noch,0
577,joan rida erc premi azot gobiern #premiosapp,0
578,tuit pacofmarug años diput llev ovacion noch #app,0
579,algui mes rubalc levant man pregunt candidat lider pso #premiosapp,0
580,uxu barc premi el' emili castelar' asoci period parlamentari merec,0
583,consej union europe defiend #neutral #internet propon med concret {link} #interes,1
584,buen dias pas estupend miercol -,0
585,verd posibl q urdangarin mont lio tan tosc escandal q prefier pens q engañ asesor fiscal,1
589,bien pas carm “carmentorrr plantill em andaluc sig celebr xv aniversari {link},0
590,muer hombr choc frontal vehicul q conduc contrari camiona- altur rod andaluciasevill,1
593,razon adrian mañan program feder “adrianarey sinvergüenzay qued corta”,1
595,alfons alons 'amaiur cumpl reglament form grup propio' | elmund {link},1
596,juez grande-marlask demand medi profundiz violenci machist,1
597,segun mont tal period q dic barbar altur trat miguel angel noced pais contrast /,1
598,dav perez nuev president feder madrileñ municipi,0
599,emt cerr año histor super primer vez millon viajer {link},0
600,compr torremolin navid premi eur {link},0
601,firm contrat obras bulev #malag - opinion malag {link},0
602,ppandaluz cualqui reclam plante bas estatut {link},1
603,practic plural troc duopoli anten anunci 'fusion absorcion' sext {link},1
604,psoe- acept ningun enmiend oposicion presupuest {link},1
605,alons portavoz pso ton oposicion va ser respons progres vam defend interes gral ciudadan,0
606,“vvillarroel rt jcponlin deb dej ser portavoc sur ser altavoc sur #encuentroongd” gust ide,0
611,sic transit muse cer estudi apart figur iñaki urdangarin famili real {link} via elmund,1
613,agresion cam fotograf cuest cre version policial detencion fotoperiod {link},1
614,intermodal permit acerc negoci creacion nuev servici supon impuls cont {link},0
615,cad vez gust seccion elviralind apropios_rn asuntosgarr energ posit,0
616,coler manzan {link} via elmund encim enfadal getaf albacet cornell siempr,1
617,sig laurarey describ period quier ser ros mªcalaf nomic ana ros quintan buen,0
618,minijobs parec horror solucion magic problem españ reform merc laboral,1
619,merc navideñ manchestermuy bonit {link},0
620,plac - rt lostuiter vem ceped habitual ranking sesion extraordinari #iesecampañ,0
622,pued evit siempr scott buen noch {link},0
623,doy pist va sent identific pais cercan,0
624,princip propon moderniz monarqu ocho menus navid crisis rihann {link},1
626,twitt noch va pedal desconect si vien cuest toc sub cataclock analog click,1
627,{link} bonit fot primer funcion conciert alicantebes,0
628,buenisim jajaj viaj rt cecypaolopez alejandrosanz ale vist avat vos,0
630,dad cualqui cos abraz madr sent presenci fond creyent potencial#queremoscr,0
632,madr habl señor plan inmaterial coment quier cort pelo#y,1
634,graci bes rt renatathediston alejandrosanz dias pa cumpleañ jej cont {link},0
635,captur » hart {link},1
637,alexdelaiglesi bes amig vem friday,0
642,explosion pequeñ artefact junt estadi olimp cartuj / ocult jardiner {link},1
643,pid izquierd discut diferent cas enter cas puert abiert,1
